Transaction_ID,Transaction_Date,Region,Province,City,Sales_Channel,Distributor_Name,Outlet_ID,Outlet_Type,Salesperson_ID,Product_Category,Product_Name,SKU_Code,Unit_Price,Quantity_Sold,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Promotion_Type,Return_Flag,Payment_Method,Delivery_Time_Days
TRX2022521118,2022-05-15,Bandung,West Java,Bandung,E-commerce,PT Nusantara Supply,OUT5011,Supermarket,SP465,Nuts,Honey Roasted Peanut,SKU72495,39762,179,7117398,0.0339,241279.79,6876118.21,Bundle Promo,No,Cash,10
TRX2022421231,30/12/2022,Palembang,South Sumatra,Palembang,Distributor,,OUT1885,Supermarket,SP986,Snacks,Crunchy Bite,SKU60662,8355,31,259005,0.0491,12717.15,246287.85,None,No,Transfer,3
TRX2022654338,2022-01-06,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Sinar Distribusi,OUT2946,Supermarket,SP951,Beverages,Choco Malt Drink,SKU86379,16456,13,213928,0.1029,22013.19,191914.81,Retail Discount,No,Transfer,6
TRX2022396458,2022-08-04,Makassar,South Sulawesi,Makassar,E-commerce,PT Nusantara Supply,OUT2498,Minimarket,SP677,Beverages,Choco Malt Drink,SKU60592,23282,161,3748402,0.1886,706948.62,3041453.38,Bundle Promo,No,Cash,13
TRX2022559156,2022-01-14,Jakarta,DKI Jakarta,Jakarta,Modern Trade,,OUT5584,Online Store,SP629,Nuts,Salted Cashew Mix,SKU52883,32124,75,2409300,0.1924,463549.32,1945750.68,None,No,Credit Term,3
TRX2022213534,2022-11-18,Bandung,West Java,Bandung,General Trade,PT Nusantara Supply,OUT2027,Supermarket,SP729,Biscuits,Butter Crunch Biscuit,SKU62827,32923,98,3226454,0.1324,427182.51,2799271.49,Seasonal Promo,No,Cash,8
TRX2022447530,2022-04-15,Surabaya,East Java,Surabaya,General Trade,PT Sinar Distribusi,OUT1763,Online Store,SP143,Beverages, Energy Cocoa Drink ,SKU88980,43484,131,5696404,0.2092,1191687.72,4504716.28,Seasonal Promo,No,Transfer,3
TRX2022599271,2022-10-05,Bandung,West Java,Bandung,E-commerce,PT Nusantara Supply,OUT2898,Minimarket,SP762,Candy,Fruit Jelly Candy,SKU50668,15597,77,1200969,0.0158,18975.31,1181993.69,Seasonal Promo,No,Credit Term,3
TRX2022205544,10/11/2022,Makassar,South Sulawesi,Makassar,E-commerce,PT Sinar Distribusi,OUT2470,Minimarket,SP882,Candy,Mint Pop Candy,SKU40151,14797,38,562286,0.1361,76527.12,485758.88,Retail Discount,No,Credit Term,11
TRX2022428690,2022-08-29,Medan,North Sumatra,Medan,Modern Trade,PT Sinar Distribusi,OUT5494,Minimarket,SP831,Nuts,Honey Roasted Peanut,SKU88097,49032,163,7992216,0.1398,1117311.8,6874904.2,Retail Discount,No,Credit Term,7
